_id,ID_EQ_SAUDE,CATEGORIA,SIGLA_CATEGORIA,NOME,TIPO_LOGRADOURO,LOGRADOURO,NUMERO_IMOVEL,TELEFONE,NOME_BAIRRO_POPULAR,GEOMETRIA
1,792,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA FLORESTA,RUA,CAPUTIRA,96,34426473,COLÉGIO BATISTA,POINT (611657.997332679 7798723.12733485)
2,379,CENTRO DE REFERENCIA EM SAUDE MENTAL,CERSAM,CENTRO DE REFERENCIA EM SAUDE MENTAL VENDA NOVA,RUA,DOS CANOEIROS,320,,SANTA MÔNICA,POINT (607141.370161245 7807118.69851206)
3,205,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VENTOSA,RUA,CONSELHEIRO JOAQUIM CAETANO,1782,"32779630, 32779631, 32776479",JARDIM AMÉRICA,POINT (607548.098136581 7793641.41787512)
4,398,CENTRO DE SAUDE,CS,CENTRO DE SAUDE LAJEDO,RUA,JULIO RIBEIRO,681,"32771324, 32778916, 32778556",LAJEDO,POINT (613770.003890319 7806500.86014043)
5,186,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE PROVIDENCIA,RUA,RIO GRANDE,375,,MINASLÂNDIA,POINT (611910.834174225 7804403.50728302)
6,185,CENTRO DE CONVIVENCIA,CC,CENTRO DE CONVIVENCIA PROVIDENCIA,RUA,RIO GRANDE,375,,MINASLÂNDIA,POINT (611910.834174225 7804403.50728302)
7,355,CENTRO DE SAUDE,CS,CENTRO DE SAUDE RIO BRANCO,RUA,CRISANTO MUNIZ,120,"32775475, 32775525",RIO BRANCO,POINT (606799.307615703 7808691.59370574)
8,1081,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE PILAR,RUA,PROFESSOR OTILIO MACEDO,12,,PILAR,POINT (607517.733638464 7788095.99032613)
9,168,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CABANA,RUA,CENTRO SOCIAL,536,"32777040, 32777041, 32773623",NOVA GAMELEIRA,POINT (604994.215552205 7794475.80856257)
10,319,HOSPITAL DA PREFEITURA DE BELO HORIZONTE,HOSPITAL PBH,HOSPITAL METROPOLITANO DOUTOR CELIO DE CASTRO,RUA,DONA LUIZA,311,,MILIONÁRIOS,POINT (603945.938326638 7789787.83320928)
11,352,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PIRATININGA,RUA,CRAVO DA INDIA,11,"32775431, 32775509",PIRATININGA,POINT (605477.956343633 7808518.48954582)
12,282,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JOAO XXIII,RUA,TOLEDO,481,"32779131, 32779060",OESTE,POINT (604048.166016845 7795126.32562646)
13,453,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MARIANO DE ABREU,RUA,BARREIRO,1007,"32775630, 32775631, 32779041",CASA BRANCA,POINT (616530.764563342 7799094.63263726)
14,424,CENTRO DE SAUDE,CS,CENTRO DE SAUDE GRANJA DE FREITAS,RUA,SAO VICENTE,405,"32775725, 32775752, 32775727",GRANJA DE FREITAS,POINT (616718.194382153 7798240.39176732)
15,166,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VISTA ALEGRE,RUA,SENECA,9,"32779605, 32779604",NOVA CINTRA,POINT (605516.709656736 7793796.11638669)
16,238,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE SAO GERALDO,RUA,SILVA ALVARENGA,548,,SÃO GERALDO,POINT (615361.728257933 7799308.1044375)
17,766,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA VILA CLORIS,RUA,DAS SERIEMAS,77,34543651,VILA CLÓRIS,POINT (609852.520609525 7807521.94236213)
18,256,CENTRO DE REFERENCIA EM SAUDE MENTAL,CERSAM,CENTRO DE REFERENCIA EM SAUDE MENTAL ALCOOL E DROGAS NORDESTE,RUA,ANDIROBA,600,,SAO PAULO,POINT (612497.781617057 7802990.91481213)
19,194,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,RUA,MARIA DA PAZ MAIA,96,"32775560, 32779485",JARDIM DOS COMERCIÁRIOS,POINT (607186.484880825 7811588.964704)
20,786,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA INCAS,RUA,MARROCOS,292,34527637,COPACABANA,POINT (605532.923064519 7806894.80947565)
21,787,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA MARROCOS,RUA,MARROCOS,244,34964646,COPACABANA,POINT (605540.35053006 7806848.71704069)
22,458,CENTRO DE CONVIVENCIA,CC,CENTRO DE CONVIVENCIA CARLOS PRATES,RUA,MANHUMIRIM,415,,PADRE EUSTÁQUIO,POINT (607872.860714178 7797606.43080824)
23,790,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA MANHUMIRIM,RUA,MANHUMIRIM,915,34133585,CAIÇARAS,POINT (607747.442311188 7798126.89347037)
24,181,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE CIAME,RUA,GUARARAPES,1810,,PINDORAMA,POINT (602538.257663757 7798136.54158453)
25,449,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA IMPERIAL,RUA,GUILHERME PINTO DA FONSECA,350,"32779104, 32779105, 32771503",MADRE GERTRUDES,POINT (604147.5449323 7793842.62691961)
26,421,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO GERALDO,RUA,ITAITUBA,318,"32775682, 32775683, 32775749",SÃO GERALDO,POINT (614914.803497092 7799573.96032331)
27,366,CENTRO DE SAUDE,CS,CENTRO DE SAUDE GENTIL GOMES,RUA,MANOEL PASSOS,580,"32776270, 32776262, 32776280",SANTA CRUZ,POINT (610357.894317966 7802088.7984353)
28,401,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ALCIDES LINS,RUA,PANEMA,255,"32776002, 32776003, 32776090",CONCÓRDIA,POINT (611209.178791393 7799760.30239392)
29,526,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE BOA VISTA,RUA,MARIA FRANCISCA,4,,BOA VISTA,POINT (614447.388642768 7799771.83897187)
30,797,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA MOCINHA,RUA,VINTE E OITO DE SETEMBRO,945,34612667,ESPLANADA,POINT (614305.701970381 7798245.23302983)
31,159,UNIDADE DE REFERENCIA SECUNDARIA,URS,UNIDADE DE REFERENCIA SECUNDARIA SAUDADE,RUA,VINTE E OITO DE SETEMBRO,372,,ESPLANADA,POINT (614503.294637501 7798759.71606037)
