co_municipio,co_area,seq_equipe,co_profissional_sus,co_unidade,co_cbo,tp_sus_nao_sus,ind_vinculacao,co_microarea,dt_entrada,dt_desligamento,co_cnes_outraequipe,co_municipio_outraequipe,co_area_outraequipe,co_profissional_sus_compl,co_cbo_ch_compl,st_equipeminima,co_mun_atuacao,to_char_dt_atualizacao_dd_mm_yyyy,no_usuario,to_char_dt_atualizacao_origem_dd_mm_yyyy
310620,976,224006,039F6F98B304CD59,3106200022543,515105,S,10202,,13/01/2022,"",,,,"",,1,,17/01/2022,SMSAS,
310620,843,224014,88C6AD780241DC39,3106200022543,515105,S,10202,,11/03/2021,"",,,,"",,1,,12/03/2021,SMSAS,
310620,843,224014,FD53144AB7969975,3106200022543,322250,S,10101,,27/03/2021,"",,,,"",,1,,26/07/2021,SMSAS,
310620,844,223999,7D2B64BF52AC4044,3106200022543,322250,S,10101,,23/07/2021,"",,,,"",,1,,26/07/2021,SMSAS,
310620,844,223999,36455C2B99143CC6,3106200022543,225142,S,10101,,23/07/2021,"",,,,"",,1,,26/07/2021,SMSAS,
310620,1,1781553,51112EE4D4063385,3106200022543,223293,S,10301,,04/02/2022,"",,,,"",,1,,08/02/2022,SMSAS,
310620,843,224014,5C5F24AC8A23DCFC,3106200022543,515105,S,10202,,30/03/2022,"",,,,"",,1,,01/04/2022,SMSAS,
310620,2,1781596,93651154322AF85A,3106200022543,322425,S,10301,,09/09/2022,16/11/2022,,,,"",,1,,18/11/2022,SMSAS,
310620,888,224030,435721D92CAE4DBE,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,12/11/2021,SMSAS,
310620,888,224030,EAFE5F733AA5DD72,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,12/11/2021,SMSAS,
310620,976,224006,79D18664F02BE129,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,12/11/2021,SMSAS,
310620,976,224006,1819664317890EEC,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,12/11/2021,SMSAS,
310620,843,224014,7CCAC08EDD96E37B,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,12/11/2021,SMSAS,
310620,843,224014,BE66CF383584B7B5,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,12/11/2021,SMSAS,
310620,844,223999,BEB4033B7158C3B2,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,12/11/2021,SMSAS,
310620,843,224014,44A76CA2344795BF,3106200022543,223565,S,10101,,20/12/2022,"",,,,"",,1,,26/12/2022,SMSAS,
310620,844,223999,33DFEB9FB0516437,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,23/07/2021,SMSAS,
310620,844,223999,139C8F8B1E9C0406,3106200022543,515105,S,10202,,21/07/2021,"",,,,"",,1,,23/07/2021,SMSAS,
310620,2,1781596,D2D98B3AE6D4752E,3106200022543,223293,S,10301,,17/02/2022,"",,,,"",,1,,18/02/2022,SMSAS,
310620,843,224014,AE8C38384B01AA37,3106200022543,225170,S,10301,,07/07/2021,22/02/2022,,,,"",,1,,24/02/2022,SMSAS,
310620,2,1781596,DA08FF3C711AB829,3106200022543,322425,S,10101,,25/05/2020,"",,,,"",,1,,27/05/2020,SMSAS,
310620,2,1781596,FF9AD3BA4A4E3344,3106200022543,322430,S,10101,,25/05/2020,"",,,,"",,1,,27/05/2020,SMSAS,
310620,1,1781553,EC463FE65E478EEE,3106200022543,322425,S,10101,,25/05/2020,"",,,,"",,1,,27/05/2020,SMSAS,
310620,888,224030,0C3C0BC74DB85205,3106200022543,223565,S,10101,,26/12/2018,"",,,,"",,1,,28/05/2019,SMSAS,
310620,888,224030,D41957BA35505434,3106200022543,515105,S,10202,,26/12/2018,"",,,,"",,1,,26/12/2018,GERGETRB,
310620,888,224030,DCC48E6C7A888970,3106200022543,322245,S,10101,,26/12/2018,"",,,,"",,1,,12/11/2019,SMSAS,
310620,888,224030,DC98D4E31B10E0C1,3106200022543,225170,S,10301,,04/08/2019,"",,,,"",,1,,19/08/2019,SMSAS,
310620,888,224030,AA4E2422DCD7FFEE,3106200022543,515105,S,10202,,26/12/2018,"",,,,"",,1,,26/12/2018,GERGETRB,
310620,976,224006,934762EDC28C9FF4,3106200022543,515105,S,10202,,26/12/2007,"",,,,"",,1,,23/03/2015,PRPS001144,
310620,976,224006,359E3B931C9A067C,3106200022543,223565,S,10101,,19/12/2019,"",,,,"",,1,,13/01/2020,SMSAS,
310620,976,224006,72655BAEB22E4D08,3106200022543,322245,S,10101,,21/11/2012,"",,,,"",,1,,18/04/2018,GERGETRB,
310620,976,224006,6600BA1B2653E0E2,3106200022543,225142,S,10101,,01/04/2000,"",,,,"",,1,,23/03/2015,PRPS001144,
310620,843,224014,DD388B8E4C2D07E5,3106200022543,515105,S,10202,,05/09/2019,"",,,,"",,1,,12/12/2019,SMSAS,
310620,844,223999,E18799D2498ACF7C,3106200022543,515105,S,10202,,17/06/2013,"",,,,"",,1,,23/03/2015,PRPS001144,
310620,976,224006,0CD7C81CAE701C89,3106200022543,251510,S,10301,,24/12/2021,"",,,,"",,1,,24/12/2021,SMSAS,
310620,844,223999,E7B8A40129E2FF59,3106200022543,223565,S,10301,,16/08/2022,02/10/2022,,,,"",,1,,05/10/2022,SMSAS,
310620,843,224014,B795756463199418,3106200022543,223565,S,10301,,03/08/2022,05/12/2022,,,,"",,1,,13/12/2022,SMSAS,
310620,1,1781553,A65E9B8D4B70B836,3106200022543,322430,S,10101,,21/09/2021,"",,,,"",,1,,24/09/2021,SMSAS,
310620,844,223999,5CF39B8465C0195B,3106200022543,223565,S,10101,,02/08/2021,"",,,,"",,1,,04/08/2021,SMSAS,
310620,784,224057,89AEC040E31AC416,3106200022551,515105,S,10202,,03/02/2022,"",,,,"",,1,,04/02/2022,SMSAS,
310620,577,224235,9D16871A3475997B,3106200022551,515105,S,10202,,02/02/2022,"",,,,"",,1,,07/02/2022,SMSAS,
