ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
1982984,CRECHE CENTRO INFANTIL UNIAO,Creches Conveniadas,31290190,RUA,ROTARY CLUB,86,,Conjunto Santa Maria,CENTRO-SUL,POINT (609083.12801903 7793508.91484573)
1982057,NÚCLEO INFANTIL MARIA CÂNDIDA CORRÊA,Creches Conveniadas,31304000,RUA,PROFESSOR RAIMUNDO NONATO,220,,Santa Tereza,LESTE,POINT (613474.839953531 7797880.0551128)
1982209,CRECHE LAR CRISTÃO DA CRIANÇA,Creches Conveniadas,31281867,RUA,SALVADOR PIRRI,292,,Milionários,BARREIRO,POINT (604402.374504423 7790508.1756375)
1982100,CRECHE COMUNITÁRIA JESUS E AS CRIANÇAS,Creches Conveniadas,31257842,RUA,SANTA AMELIA,370,,São Marcos,NORDESTE,POINT (613894.454478064 7802400.77493339)
1981842,CRECHE MADRE MAZZARELLO,Creches Conveniadas,31308684,RUA,SANTAREM,278,,Nova Cintra,OESTE,POINT (605562.540059333 7793842.72689926)
1982324,SABER SISTEMA AGUIOS BAT ENS,Creches Conveniadas,31293091,RUA,SANTAREM,386,,Nova Cintra,OESTE,POINT (605774.796337355 7793708.25427077)
1982047,ESCOLA MUNICIPAL PROFESSOR LOURENCO DE OLIVEIRA,Municipal,31005291,RUA,SAO GOTARDO,321,,Santa Tereza,LESTE,POINT (613962.499185194 7797749.09177001)
1981850,CRECHE CASINHA FELIZ DA COMUNIDADE VILA SÃO JOSÉ,Creches Conveniadas,31308498,AVENIDA,SIDERAL,605,,Vila Madre Gertrudes I,OESTE,POINT (604275.644123438 7793581.77001627)
1982158,GRUPAC GRUPO DE APOIO A CRIANÇA PADRE TEODORO,Creches Conveniadas,31309125,RUA,TIRO,50,,São Salvador,NOROESTE,POINT (603198.44000799 7800100.76309413)
1983089,EMEI SOLAR RUBI,EMEIS,31361933,AVENIDA,WARLEY APARECIDO MARTINS,730,,Solar do Barreiro,BARREIRO,POINT (603055.679705693 7787074.4745574)
