ID_ENTIDADE_LOCAL_EXEC,ID_ENTIDADE,NOME_ENTIDADE,DESC_CATEGORIA,SIGLA_CATEGORIA,TIPO_EXECUCAO,NOME_SERVICO,NIVEL_PROTECAO,SIGLA_PROTECAO,PUBLICO_USUARIO,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,BAIRRO,GEOMETRIA
160,254,"ASSOCIACAO CULTURAL, ESPORTIVA E SOCIAL VERENA – ACS",SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,CARLOS CAMPOS MOTTA,586,ITATIAIA,POINT (603110.423865974 7802888.08574269)
161,255,ASSOCIACAO DAS OBRAS PAVONIANAS DE ASSISTENCIA - OBRAS SOCIAIS PADRE AGNALDO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DIAS DE TOLEDO,99,CORAÇÃO DE JESUS,POINT (609841.795169325 7793888.45759091)
162,256,ASSOCIACAO DE AMIGOS DO CENTRO SOCIAL FREI JOSE RENATO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,OLIVEIRA FORTES,40,SÃO GONÇALO,POINT (612839.538879748 7804861.534053)
163,257,ASSOCIACAO DO PEQUENO CRISTO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,SILVA LOBO,2379,GRAJAÚ,POINT (608461.226442228 7794515.2300132)
164,258,ASSOCIACAO ESCOLA DE ESPORTES VISAO DA VIDA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,RIO VERDE,544,CARMO,POINT (611631.753574028 7794103.96372526)
165,259,ASSOCIACAO ESPIRITA CHRISTOPHER SMITH,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,LUIZA CHEQUER SANTOS,179,PARAÍSO,POINT (614371.583766562 7796248.5771954)
166,260,ASSOCIACAO FAMILIA DE CANA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,HENRIQUE GORCEIX,80,PADRE EUSTÁQUIO,POINT (606786.008960903 7796784.29815096)
167,261,ASSOCIACAO GOSPA MIRA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,JULIA LOPES DE ALMEIDA,51,SANTA MARIA,POINT (603559.434825423 7795180.49460052)
168,262,ASSOCIACAO MINEIRA DA AMIZADE - AMA (CLUBE DA  AMIZADE),SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,ESPIRITO SANTO,1059,CENTRO,POINT (611101.488064888 7796582.18928963)
169,264,ASSOCIACAO OASIS DE ASSISTENCIA SOCIAL (INSTITUTO CRISTAO CALVARIO - ICC),SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DOS SALESIANOS,538,SÃO BERNARDO,POINT (610275.402891629 7805521.16978606)
170,264,ASSOCIACAO OASIS DE ASSISTENCIA SOCIAL (INSTITUTO CRISTAO CALVARIO - ICC),SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DOS SALESIANOS,528,SÃO BERNARDO,POINT (610260.263521501 7805521.24976978)
171,265,ASSOCIACAO PONTO CULTURAL,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,GERALDO VASCONCELLOS,485,ESTORIL,POINT (608424.689106153 7792707.64794129)
172,266,ASSOCIACAO PROVIDA OASIS DA IMACULADA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,PRACA,DOMINGOS GATTI,17,BARREIRO,POINT (603127.830843283 7790769.45245536)
173,267,ASSOCIACAO QUERUBINS,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,CORREAS,700,MANGABEIRAS,POINT (611877.570438336 7792261.09883506)
174,268,ASSOCIACAO SHEKINAH DE ASSISTENCIA SOCIAL - ASAS - CENTRO INFANTIL CAMINHO DO CEU,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,ALAIR PEREIRA DA SILVA,205,CONJUNTO TAQUARIL,POINT (617159.73460667 7797026.23890462)
175,269,ASSOCIACAO UNIFICADA DE RECUPERACAO E APOIO - AURA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,JOSE LAVARINI,100,PARAÍSO,POINT (614078.509968594 7796604.86467412)
176,270,CASA DO HOMEM DE NAZARE,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,BONINAS,425,ESPLANADA,POINT (614529.920468733 7798614.79555852)
177,271,JOCUM - CASA ROCHA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,MENDES DE OLIVEIRA,397,SANTO ANDRÉ,POINT (609659.72692727 7798907.31601682)
178,272,CENTRO DE APOIO E CONVIVENCIA - CAC,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,JUSCELINO BARBOSA,30,CALAFATE,POINT (606769.137963473 7796435.47915205)
179,273,CENTRO DE CONVIVENCIA ASSOCIACAO DAS MAES CHEFE DE FAMILIA DO ESTADO DE MINAS GERAIS - ASSMIG,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,CRISTIANO MACHADO,8821,SÃO BERNARDO,POINT (611511.826014588 7803902.90917832)
180,274,CENTRO DE CONVIVENCIA ASSOCIACAO PROJETO PROVIDENCIA - UNIDADE FAZENDINHA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,MEM DE SA,2020,VILA NOVO SÃO LUCAS,POINT (614397.945730776 7795611.07695673)
181,275,CENTRO DE CONVIVENCIA ASSOCIACAO PROJETO PROVIDENCIA - UNIDADE TAQUARIL,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,ALAIR PEREIRA DA SILVA,100,CONJUNTO TAQUARIL,POINT (617132.778941666 7796863.79197022)
182,276,CENTRO DE CONVIVENCIA ASSOCIACAO PROJETO PROVIDENCIA - UNIDADE VILA MARIA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,D,300,VILA MARIA,POINT (616722.770825738 7804450.19777931)
183,277,CENTRO DE CONVIVENCIA CENTRO INFANTO JUVENIL CRESCER SORRINDO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,PEPERI,955,NOVA GRANADA,POINT (608130.815461288 7794182.36776634)
184,278,CENTRO DE CONVIVENCIA COOPERACAO PARA O DESENVOLVIMENTO E MORADA HUMANA (CDM),SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,JOVENTINA DA ROCHA,289,HELIÓPOLIS,POINT (611620.465013187 7805460.96204117)
209,303,EDUCANDARIO E CRECHE MENINO JESUS,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,SAO JOAO NEPOMUCENO,65,ESTRELA,POINT (610830.587342232 7793866.63203344)
210,304,FAMILIA DOWN,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DOS GOITACAZES,14,CENTRO,POINT (611231.904338273 7796658.00385779)
211,305,FRATERNIDADE ESPIRITUAL CRISTA OBREIROS DA VIDA ETERNA – FECOVE,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DOS GOITACAZES,14,CENTRO,POINT (611231.904338273 7796658.00385779)
212,306,FUNDACAO GUMARAES ROSA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,JOAO EVANGELISTA PINHEIRO,342,SANTA LÚCIA,POINT (610293.131456865 7792928.69294822)
213,307,FUNDACAO METODISTA DE ACAO SOCIAL E CULTURAL,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,PARAIBA,1441,SAVASSI,POINT (611530.807948157 7794914.78868419)
214,308,FUNDACAO VICINTIN,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,CURIMATA,300,SÃO GABRIEL,POINT (614006.878319195 7804446.9484407)
215,309,FUNDACAO WALDOMIRO LOBO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RODOVIA,ANEL RODOVIARIO CELSO MELLO AZEVEDO,14467,JARDIM ALVORADA,POINT (606495.095574141 7799315.22298854)
216,310,GRUPO DA FRATERNIDADE ESPIRITA IRMA SCHEILLA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,GONCALVES DIAS,229,FUNCIONÁRIOS,POINT (612275.811734454 7795485.82245192)
217,311,GRUPO DE APOIO A CRIANCA E AO ADOLESCENTE DA CABANA E REGIAO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,RIO PARDO,120,SANTA EFIGÊNIA,POINT (614032.638336776 7796441.90784351)
218,312,GRUPO DE APOIO SOCIAL SOLIDARIEDADE - GASS,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,SETE DE SETEMBRO,405,CABANA DO PAI TOMÁS,POINT (604524.850029751 7794226.14885483)
219,313,GRUPO DE EDUCACAO DESENVOLVIMENTO E APOIO AO MENOR - GEDAM,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,CONSELHEIRO ROCHA,2300,SANTA TEREZA,POINT (612811.17317537 7797101.49358675)
220,314,GRUPO DE PAIS DOS EDUCANDOS DO CIAME FLAMENGO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DO GROTAO,7,HAVAÍ,POINT (607485.817274613 7793275.1224335)
221,315,INSPETORIA SAO JOAO BOSCO - CENTRO DE CONVIVENCIA INSPETORIA SAO JOAO BOSCO - CENTRO JUVENIL DOM BOSCO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DESEMBARGADOR BRAULIO,978,ALTO VERA CRUZ,POINT (616143.104463419 7798078.92463349)
222,316,INSTITUICAO BENEFICENTE MARTIM LUTERO (CENTRO INTEGRACAO MARTINHO) - CENTRO DE CONVIVENCIA INSTITUICAO BENEFICENTE MARTIM LUTERO - CENTRO DE INTEGRAÇÃO MARTINHO - CIM,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,TRINTA E UM DE MARCO,435,CORAÇÃO EUCARÍSTICO,POINT (605141.903050107 7796819.78092854)
223,317,INSTITUTO BH FUTURO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DONA SALVADORA,37,SERRA,POINT (612947.501719115 7794865.67868039)
224,318,INSTITUTO CULTURAL ESPORTIVO E SOCIAL BACANA DEMAIS ICESBADE OU ICES BADE,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,DESEMBARGADOR MARIO MATTOS,578,SERRA,POINT (613851.411170839 7794830.07592722)
225,319,INSTITUTO DOS MISSIONARIOS SACRAMENTINOS DE NOSSA SENHORA - FRATER ELCIO GORINI,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,GUANABARA,323,CONCÓRDIA,POINT (611357.579251187 7799050.64684225)
226,320,INSTITUTO EDUCACIONAL ASSISTENCIAL NOSSA SENHORA DAS NEVES - IEDUCAN,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,FRANCISCO SPINO,235,SÃO BERNARDO,POINT (610605.681939059 7805219.03128548)
227,321,INSTITUTO ESPIRITA EURIPEDES,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RODOVIA,ANEL RODOVIARIO CELSO MELLO AZEVEDO,480,JARDIM SÃO JOSÉ,POINT (605823.257164283 7798666.82496808)
228,322,INSTITUTO HERDEIROS DE DEUS,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,TABOAO DA SERRA,235,ITAIPU,POINT (599399.513574082 7788800.34326183)
229,323,INSTITUTO JURIDICO PARA EFETIVACAO DA CIDADANIA - AVANTE SOCIAL (ANTIGO IJUCI/MG - INSTITUTO BOLA DE GUDE),SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,PEDRA NEGRA,33,SÃO GABRIEL,POINT (614015.297326222 7803893.55108313)
230,324,INSTITUTO PEDRA VIVA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,AUGUSTO DE LIMA,8,CENTRO,POINT (611286.343402315 7796511.45368766)
231,325,INSTITUTO SEVERINO BALLESTEROS - INSTITUTO BOM ALUNO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,ITAPECERICA,951,LAGOINHA,POINT (610263.586596753 7798588.49091275)
232,326,INSTITUTO UNDIO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,BRASIL,295,SANTA EFIGÊNIA,POINT (612739.393100773 7796445.06720043)
233,327,LAR FABIANO DE CRISTO - CASA DE ALMIRO,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,PADRE BELCHIOR,272,CENTRO,POINT (610749.291563318 7796685.22831633)
234,328,LAR DOS MENINOS DOM ORIONE ; CENTRO DE CONVIVENCIA LAR DOS MENINOS DOM ORIONE,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,CAETANO PIRRI,930,MILIONÁRIOS,POINT (604493.227216876 7790303.3773236)
235,329,LEGIAO DA BOA VONTADE - LBV (CENTRO COMUNITARIO DE ASSISTENCIA SOCIAL),SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,DOM ORIONE,187,SÃO LUÍZ,POINT (607015.012548691 7803231.68580389)
236,330,MOVIMENTO FAMILIAR CRISTAO DE BELO HORIZONTE,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,CRISTIANO MACHADO,10727,PLANALTO,POINT (610797.917307131 7806997.19934452)
237,331,NUCLEO ASSISTENCIAL CAMINHOS PARA JESUS,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,AVENIDA,AMAZONAS,3984,PRADO,POINT (607773.176702484 7795853.44762288)
238,332,NUCLEO DE PROMOCAO HUMANA VINHA DE LUZ,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,JOSE FERREIRA MAGALHAES,354,FLORAMAR,POINT (611882.773566086 7806460.54857823)
239,333,NUCLEO DE TRABALHO E INTEGRACAO SOCIAL,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,REIS DE ABREU,110,APARECIDA SÉTIMA SEÇÃO,POINT (608423.114149892 7800438.49434991)
240,334,CENTRO DE CONVIVENCIA CENTRO PASTORAL SANTO ARNALDO JANSSEN - OBRA SOCIAL DA PAROQUIA SAO GABRIEL,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,MADRE ISABEL TEJERO,100,MARIANO DE ABREU,POINT (616182.97312059 7799857.78255212)
241,335,OBRAS EDUCATIVAS JARDIM FELICIDADE - CENTRO ALVORADA,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS,SCFV,INDIRETA,CENTRO DE CONVIVENCIA,PROTECAO SOCIAL BASICA,PROTECAO SOCIAL BASICA,FAMILIAS,RUA,FRANCISCO SERRAO,45,TAQUARIL,POINT (616900.914045908 7797343.0644157)
