"TP_EQUIPE";"DS_EQUIPE";"CO_GRUPO_EQUIPE"
"48";"EESE - EQUIPE EXCLUSIVA DE SAUDE NA ESCOLA";"13"
"50";"EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"14"
"51";"EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"14"
"52";"EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"14"
"53";"EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"14"
"54";"EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"14"
"46";"EMAD T2 - EQUIPE MULTIDISCIPLINAR DE AT. DOMICILIAR TIPO II";"17"
"47";"ECD - EQUIPE DE CUIDADOS DOMICILIARES";"19"
"49";"EAP";"12"
"58";"eMAESM1 - EQ. MULTIPROF. ATENCAO ESPEC. SAUDE MENTAL M I";"15"
"59";"eMAESM2 - EQ. MULTIPROF. ATENCAO ESPEC. SAUDE MENTAL M II";"15"
"60";"eMAESM3 - EQ. MULTIPROF. ATENCAO ESPEC. SAUDE MENTAL M III";"15"
"70";"ESF - EQUIPE DE SAUDE DA FAMILIA";"20"
"71";"ESB - EQUIPE DE SAUDE BUCAL";"21"
"72";"ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.";"22"
"73";"ECR - EQUIPE DOS CONSULTORIOS NA RUA";"23"
"74";"EAPP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"24"
"75";"EMAESM - EQUIPE MULTIPROFISSIONAL AT. ESPEC. EM SAUDE MENTAL";"25"
"76";"EAP - EQUIPE DE ATENCAO PRIMARIA";"26"
"01";"ESF - EQUIPE DE SAUDE DA FAMILIA";"01"
"02";"ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"01"
"03";"ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"01"
"04";"EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"02"
"05";"EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"03"
"06";"NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"04"
"07";"NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"04"
"08";"EMSI - EQUIPE MULTIDISCIPLINAR DE SAUDE INDIGENA";"16"
"09";"EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"05"
"10";"EACSSB_M1 - EQ AGENTES COMUNITÁRIOS COM SAUDE BUCAL - MI";"02"
"11";"EACSSB_M2 - EQ AGENTES COMUNITÁRIOS COM SAUDE BUCAL - MII";"02"
"12";"ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"06"
"13";"ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"06"
"14";"ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"07"
"15";"ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"07"
"16";"EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"08"
"17";"EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"08"
"18";"EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"08"
"19";"EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"08"
"20";"EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"08"
"21";"EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"08"
